Date;Price
4.12.2014;362,605
5.12.2014;370,095
8.12.2014;367,011
9.12.2014;359,962
10.12.2014;361,372
11.12.2014;362,253
12.12.2014;350,181
15.12.2014;350,709
16.12.2014;357,23
17.12.2014;354,058
18.12.2014;353,177
19.12.2014;356,701
22.12.2014;362,165
23.12.2014;364,896
24.12.2014;367,187
25.12.2014;367,187
26.12.2014;367,187
29.12.2014;360,694
30.12.2014;357,937
31.12.2014;357,136
1.1.2015;357,136
2.1.2015;356,691
5.1.2015;349,042
6.1.2015;343,26
7.1.2015;349,931
8.1.2015;355,179
9.1.2015;349,131
12.1.2015;353,934
13.1.2015;355,624
14.1.2015;357,047
15.1.2015;355,98
16.1.2015;363,896
19.1.2015;366,298
20.1.2015;368,611
21.1.2015;374,748
22.1.2015;374,659
23.1.2015;383,465
26.1.2015;378,929
27.1.2015;375,46
28.1.2015;379,729
29.1.2015;381,686
30.1.2015;371,724
2.2.2015;367,454
3.2.2015;374,659
4.2.2015;376,26
5.2.2015;393,161
6.2.2015;394,051
9.2.2015;388,358
10.2.2015;394,762
11.2.2015;409,172
12.2.2015;400,277
13.2.2015;390,581
16.2.2015;389,603
17.2.2015;393,161
18.2.2015;387,29
19.2.2015;388,625
20.2.2015;392,449
23.2.2015;393,873
24.2.2015;397,609
25.2.2015;394,762
26.2.2015;401,7
27.2.2015;405,347
2.3.2015;405,703
3.3.2015;402,679
4.3.2015;408,283
5.3.2015;410,595
6.3.2015;408,46
9.3.2015;403,835
10.3.2015;394,051
11.3.2015;397,164
12.3.2015;399,21
13.3.2015;401,878
16.3.2015;401,7
17.3.2015;403,301
18.3.2015;407,927
19.3.2015;412,018
20.3.2015;413,975
23.3.2015;413,975
24.3.2015;414,064
25.3.2015;418,556
26.3.2015;411,262
27.3.2015;403,835
30.3.2015;398,72
31.3.2015;389,603
1.4.2015;392,627
2.4.2015;393,962
3.4.2015;393,962
6.4.2015;393,962
7.4.2015;398,142
8.4.2015;395,207
9.4.2015;403,568
10.4.2015;404,413
13.4.2015;405,614
14.4.2015;405,614
15.4.2015;404,814
16.4.2015;402,056
17.4.2015;400,277
20.4.2015;402,946
21.4.2015;406,37
22.4.2015;409,661
23.4.2015;412,641
24.4.2015;415,932
27.4.2015;413,041
28.4.2015;414,02
29.4.2015;406,948
30.4.2015;405,392
1.5.2015;408,994
4.5.2015;408,994
5.5.2015;399,565
6.5.2015;404,102
7.5.2015;403,034
8.5.2015;417,756
11.5.2015;418,067
12.5.2015;413,353
13.5.2015;416,244
14.5.2015;413,62
15.5.2015;411,841
18.5.2015;410,373
19.5.2015;414,909
20.5.2015;411,085
21.5.2015;408,416
22.5.2015;401,211
25.5.2015;401,211
26.5.2015;402,101
27.5.2015;408,283
28.5.2015;400,055
29.5.2015;397,342
1.6.2015;394,54
2.6.2015;394,54
3.6.2015;398,009
4.6.2015;393,606
5.6.2015;390,848
8.6.2015;390,315
9.6.2015;392,005
10.6.2015;397,697
11.6.2015;397,475
12.6.2015;403,39
15.6.2015;402,545
16.6.2015;396,052
17.6.2015;400,989
18.6.2015;401,255
19.6.2015;404,057
22.6.2015;413,62
23.6.2015;416,377
24.6.2015;412,196
25.6.2015;410,239
26.6.2015;412,864
29.6.2015;408,905
30.6.2015;400,455
1.7.2015;405,836
2.7.2015;405,836
3.7.2015;403,657
6.7.2015;397,431
7.7.2015;389,87
8.7.2015;391,649
9.7.2015;400,633
10.7.2015;404,858
13.7.2015;409,306
14.7.2015;411,93
15.7.2015;417,578
16.7.2015;420,113
17.7.2015;425,094
20.7.2015;426,206
21.7.2015;423,849
22.7.2015;417,622
23.7.2015;412,552
24.7.2015;411,218
27.7.2015;410,773
28.7.2015;414,153
29.7.2015;421,18
30.7.2015;416,244
31.7.2015;413,13
3.8.2015;417,356
4.8.2015;417,622
5.8.2015;415,888
6.8.2015;418,334
7.8.2015;413,886
10.8.2015;419,49
11.8.2015;413,975
12.8.2015;410,417
13.8.2015;411,731
14.8.2015;413,408
17.8.2015;412,728
18.8.2015;411,822
19.8.2015;405,207
20.8.2015;404,255
21.8.2015;394,831
24.8.2015;375,347
25.8.2015;391,07
26.8.2015;387,083
27.8.2015;392,973
28.8.2015;396,326
31.8.2015;396,326
1.9.2015;381,646
2.9.2015;386,902
3.9.2015;391,478
4.9.2015;382,824
7.9.2015;385,905
8.9.2015;391,523
9.9.2015;395,873
10.9.2015;391,568
11.9.2015;383,005
14.9.2015;383,775
15.9.2015;382,008
16.9.2015;386,403
17.9.2015;379,697
18.9.2015;376,072
21.9.2015;374,713
22.9.2015;366,104
23.9.2015;373,49
24.9.2015;369,774
25.9.2015;381,057
28.9.2015;377,386
29.9.2015;374,487
30.9.2015;380,241
1.10.2015;380,83
2.10.2015;381,102
5.10.2015;389,937
